,J_WLR16_32ND,J_WLR18_COMB_HEMP,J_WLR19_23RD,J_WLR20_TRINITY
2023-04-04 10:50:00+00:00,0.010505000774400012,0.01160520410915685,0.019588515953697556,0.030546714716013668
2023-04-04 10:55:00+00:00,0.008136762025078308,0.009514314894551035,0.008933779592749148,0.019107449648027835
2023-04-04 11:00:00+00:00,0.008093950328398592,0.009269819843934594,0.0055813988051170325,0.019026748827666515
2023-04-04 11:05:00+00:00,0.008174896108156797,0.009106246729338826,3.980995352984943e-05,0.0191675162941209
2023-04-04 11:10:00+00:00,0.008107107528823576,0.009137809343962999,-0.00034494019314384636,0.01897413773575257
2023-04-04 11:15:00+00:00,0.00804449096688226,0.00911884471128322,-0.00037383617679817387,0.018942770307753185
2023-04-04 11:20:00+00:00,0.007939505157609498,0.009095543047584443,-0.0004370635447581132,0.018863286834644555
2023-04-04 11:25:00+00:00,0.007880056331775147,0.0070397951015820585,-0.00044853948481981355,0.013945615415662853
2023-04-04 11:30:00+00:00,0.007795391914105683,0.0011298000049625519,-0.00046787757691125386,0.00872138534406588
2023-04-04 11:35:00+00:00,0.007724677802471547,0.0007653995580426453,-0.0007529530139350982,0.008006066882342112
2023-04-04 11:40:00+00:00,0.00777444479025462,0.0007893707914954954,-0.000961091728998061,0.0079453047746739
2023-04-04 11:45:00+00:00,0.007638907893237009,0.0007611558393042136,-0.000977516512356639,0.007968463540315914
2023-04-04 11:50:00+00:00,0.007568616031255715,0.0006924805506533479,-0.0008883910733355076,0.007989104224323758
2023-04-04 11:55:00+00:00,0.007617526439897423,0.00077436266052473,-0.0008816246914629271,0.00798591743516397
2023-04-04 12:00:00+00:00,0.007630142591992239,0.000759001164949306,-0.0008972800731432547,0.008110649057631274
2023-04-04 12:05:00+00:00,0.007544336691970936,0.0007113848723861338,-0.0009822482772496718,0.008114039395283611
2023-04-04 12:10:00+00:00,0.007474643122190135,0.0007225045978126824,-0.0010108010615880402,0.00809405008389111
2023-04-04 12:15:00+00:00,0.007466470538985467,0.0006472241117270035,-0.0010212625837643448,0.00801262660251704
2023-04-04 12:20:00+00:00,0.007555865849614444,0.0005393914724872199,-0.001032968969752801,0.008017249573892589
2023-04-04 12:25:00+00:00,0.007733619368354047,0.0005772511726216105,-0.00104550424948305,0.008065977152340528
2023-04-04 12:30:00+00:00,0.007524227056584702,0.0005567697163684215,-0.0010614097497570658,0.008243860304887107
2023-04-04 12:35:00+00:00,0.007616669249010026,0.00043544534157338906,-0.0011566556083806745,0.008363480731839937
2023-04-04 12:40:00+00:00,0.007368808035867384,0.00018160141627845405,-0.0011831027814603581,0.008329993373302121
2023-04-04 12:45:00+00:00,0.0074934336008377995,-3.776562596537285e-05,-0.0012011088693128613,0.008335331839548606
2023-04-04 12:50:00+00:00,0.007314517983302456,-0.00015874331784857532,-0.0013053386962781134,0.008354610288527435
2023-04-04 12:55:00+00:00,0.007431131258124423,-0.0007469204584310774,-0.0013349247178884602,0.008338904476097279
2023-04-04 13:00:00+00:00,0.007375302618610627,-0.0022165677604978856,-0.0013546969803125346,0.008360087401950978
2023-04-04 13:05:00+00:00,0.007315729497507088,-0.002541403122591153,-0.001379236398527913,0.008120429194524567
2023-04-04 13:10:00+00:00,0.007280352301277541,-0.002920044985452819,-0.0011718357465004678,0.008039924308249624
2023-04-04 13:15:00+00:00,0.007338803716034666,-0.003091115483563082,-0.0011167879565628406,0.00806580461468324
2023-04-04 13:20:00+00:00,0.0072894732655214515,-0.0032698013280859565,-0.0011330216643822648,0.008138919980517774
2023-04-04 13:25:00+00:00,0.007202358772848545,-0.0033100575419410918,-0.0010548317820062417,0.008135008404177786
2023-04-04 13:30:00+00:00,0.007272982242575192,-0.0033893834922290957,-0.0010487920246153712,0.008103643419788871
2023-04-04 13:35:00+00:00,0.007340718126259086,-0.0034748347143249703,-0.0010445499946901767,0.008263377403057841
2023-04-04 13:40:00+00:00,0.0073267176234584975,-0.0034707684094920904,-0.0009616877574975054,0.008297219652533272
2023-04-04 13:45:00+00:00,0.007114322981263399,-0.0034994929009769748,-0.0009292070917913028,0.008328144120654694
2023-04-04 13:50:00+00:00,0.007109677637094099,-0.0035195559879042547,-0.0009257776697647083,0.008278393076892598
2023-04-04 13:55:00+00:00,0.006970410424273155,-0.003484625867698317,-0.001006294624913077,0.008160168321485155
2023-04-04 14:00:00+00:00,0.007402839680748722,-0.0035057489444227487,-0.0010379152744680671,0.008226192779086242
2023-04-04 14:05:00+00:00,0.007194794082931821,-0.003522036443886615,-0.0010464337263310123,0.008164561228733191
