,Sensor1,class
2022-06-27 00:23:11.825381+00:00,0.033,True
2022-06-27 00:54:26.623376+00:00,0.036,True
2022-06-27 01:25:40.777543+00:00,0.041,True
2022-06-27 01:56:55.021679+00:00,0.038,True
2022-06-27 02:28:09.174454+00:00,0.04,True
2022-06-27 02:59:23.661425+00:00,0.039,True
2022-06-27 03:30:37.658606+00:00,0.041,True
2022-06-27 04:01:51.894727+00:00,0.039,True
2022-06-27 04:33:05.977619+00:00,0.045,True
2022-06-27 05:04:20.383022+00:00,0.045,True
2022-06-27 05:35:34.537877+00:00,0.045,True
2022-06-27 06:06:49.022170+00:00,0.046,True
2022-06-27 06:38:03.260907+00:00,0.048,True
2022-06-27 07:09:17.345858+00:00,0.044,True
2022-06-27 07:40:31.816334+00:00,0.046,True
2022-06-27 08:12:01.425814+00:00,0.045,True
2022-06-27 08:43:16.616499+00:00,0.043,True
2022-06-27 09:14:46.061882+00:00,0.047,True
2022-06-27 09:45:58.941799+00:00,0.048,True
2022-06-27 10:17:43.499824+00:00,0.045,True
2022-06-27 10:48:57.659940+00:00,0.046,True
2022-06-27 11:20:11.978786+00:00,0.045,True
2022-06-27 11:51:27.102385+00:00,0.047,True
2022-06-27 12:22:41.815830+00:00,0.048,True
2022-06-27 12:53:56.218205+00:00,0.048,True
2022-06-27 13:25:10.133775+00:00,2.295,True
2022-06-27 13:56:24.626182+00:00,0.048,True
2022-06-27 14:27:38.935862+00:00,0.05,True
2022-06-27 14:58:53.180086+00:00,0.051,True
2022-06-27 15:30:07.342658+00:00,0.046,True
2022-06-27 16:01:36.787427+00:00,0.047,True
2022-06-27 16:32:51.023921+00:00,0.838,False
2022-06-27 17:04:05.426085+00:00,0.045,True
2022-06-27 17:35:35.345674+00:00,0.048,True
2022-06-27 18:06:49.499013+00:00,0.045,True
2022-06-27 18:38:03.825343+00:00,0.044,True
2022-06-27 19:09:17.979337+00:00,0.041,True
2022-06-27 19:40:32.226506+00:00,0.04,True
2022-06-27 20:11:46.774742+00:00,0.043,True
2022-06-27 20:43:00.777663+00:00,0.046,True
2022-06-27 21:14:15.337873+00:00,0.04,True
2022-06-27 21:45:29.582372+00:00,0.037,True
2022-06-27 22:16:43.977712+00:00,0.028,True
2022-06-27 22:47:58.062634+00:00,0.041,True
2022-06-27 23:19:13.894925+00:00,0.8280000000000001,False
2022-06-27 23:50:44.458768+00:00,0.034,True
2022-06-28 00:21:58.699390+00:00,0.296,True
2022-06-28 00:33:12.938031+00:00,0.89,True
2022-06-28 00:44:27.181765+00:00,0.853,True
2022-06-28 00:55:41.583249+00:00,0.85,True
2022-06-28 01:06:55.581993+00:00,0.844,True
2022-06-28 01:18:09.817320+00:00,0.532,True
2022-06-28 01:29:24.140085+00:00,0.528,True
2022-06-28 01:41:08.859395+00:00,0.5,True
2022-06-28 01:52:23.262537+00:00,0.46,True
2022-06-28 02:03:37.826021+00:00,0.438,True
2022-06-28 02:14:51.741142+00:00,0.415,True
2022-06-28 02:26:06.147412+00:00,0.377,True
2022-06-28 02:37:50.618982+00:00,0.359,True
2022-06-28 02:49:04.542046+00:00,0.35,True
2022-06-28 03:00:18.938858+00:00,0.338,True
2022-06-28 03:01:26.144293+00:00,0.335,True
2022-06-28 03:12:40.378746+00:00,0.322,True
2022-06-28 03:23:54.781967+00:00,0.303,True
2022-06-28 03:35:24.466593+00:00,0.878,False
2022-06-28 03:46:38.292931+00:00,0.28,True
2022-06-28 03:57:52.377812+00:00,0.275,True
2022-06-28 04:09:06.861022+00:00,0.85,False
2022-06-28 04:20:20.939666+00:00,0.853,False
2022-06-28 04:31:35.258195+00:00,0.28,True
2022-06-28 04:42:49.418463+00:00,0.85,False
2022-06-28 04:54:07.980732+00:00,0.85,False
2022-06-28 05:05:22.378557+00:00,0.857,False
2022-06-28 05:16:36.778412+00:00,0.847,False
2022-06-28 05:27:52.132665+00:00,0.867,False
2022-06-28 05:39:06.703659+00:00,0.867,False
2022-06-28 05:50:20.938928+00:00,0.859,False
2022-06-28 06:02:05.983244+00:00,0.861,False
2022-06-28 06:13:19.980934+00:00,0.855,False
2022-06-28 06:24:34.219950+00:00,0.844,False
2022-06-28 06:35:48.378530+00:00,0.848,False
2022-06-28 06:47:02.781119+00:00,0.842,False
2022-06-28 06:58:17.099040+00:00,0.837,False
2022-06-28 07:09:31.266664+00:00,0.845,False
2022-06-28 07:20:45.340392+00:00,0.839,False
2022-06-28 07:31:59.817086+00:00,0.842,False
2022-06-28 07:43:13.977004+00:00,0.846,False
2022-06-28 07:54:28.300980+00:00,0.837,False
2022-06-28 08:05:42.538233+00:00,0.838,False
2022-06-28 08:37:27.502023+00:00,0.8230000000000001,False
2022-06-28 09:08:57.018653+00:00,0.8270000000000001,False
2022-06-28 09:40:11.336944+00:00,0.8210000000000001,False
2022-06-28 10:11:25.340194+00:00,0.8310000000000001,False
2022-06-28 10:42:39.742596+00:00,0.8190000000000001,False
2022-06-28 11:13:53.739284+00:00,0.143,True
2022-06-28 11:45:06.706111+00:00,0.139,True
2022-06-28 12:16:20.702741+00:00,0.134,True
2022-06-28 12:17:27.902757+00:00,0.134,True
2022-06-28 12:48:42.215091+00:00,0.13,True
2022-06-28 13:20:27.021944+00:00,0.122,True
2022-06-28 13:51:40.695783+00:00,0.123,True
2022-06-28 14:22:55.018622+00:00,0.122,True
2022-06-28 14:54:09.103150+00:00,0.118,True
2022-06-28 15:25:23.586972+00:00,0.111,True
2022-06-28 15:56:37.659482+00:00,0.111,True
2022-06-28 16:27:52.060479+00:00,0.106,True
2022-06-28 16:59:06.538958+00:00,0.105,True
2022-06-28 17:30:20.692930+00:00,0.101,True
2022-06-28 18:02:05.347305+00:00,0.8180000000000001,False
2022-06-28 18:33:19.579216+00:00,0.096,True
2022-06-28 19:04:33.816848+00:00,0.8200000000000001,False
2022-06-28 19:35:47.975145+00:00,0.089,True
2022-06-28 20:07:02.298451+00:00,0.086,True
2022-06-28 20:38:16.782971+00:00,0.086,True
2022-06-28 21:09:31.176684+00:00,0.089,True
2022-06-28 21:41:01.101186+00:00,0.079,True
2022-06-28 22:12:15.254773+00:00,0.076,True
2022-06-28 22:43:29.584878+00:00,0.074,True
2022-06-28 23:15:14.133462+00:00,0.076,True
2022-06-28 23:46:28.464230+00:00,0.072,True
2022-06-29 00:17:42.703880+00:00,0.072,True
2022-06-29 00:48:57.339389+00:00,0.072,True
2022-06-29 01:20:11.659521+00:00,0.075,True
2022-06-29 01:51:26.061192+00:00,0.072,True
2022-06-29 02:22:40.303329+00:00,0.072,True
