,Sensor4,class
2022-06-27 00:09:22.226400+00:00,0.2393999999999996,True
2022-06-27 00:40:35.103962+00:00,0.2373999999999996,True
2022-06-27 01:11:49.516620+00:00,0.2363999999999996,True
2022-06-27 01:43:03.665739+00:00,0.2343999999999996,True
2022-06-27 02:14:17.819978+00:00,0.2393999999999996,True
2022-06-27 02:45:32.465286+00:00,0.2423999999999996,True
2022-06-27 03:16:47.190039+00:00,0.2413999999999996,True
2022-06-27 03:48:21.906841+00:00,0.2443999999999996,True
2022-06-27 04:19:36.392095+00:00,0.2543999999999996,True
2022-06-27 04:50:50.712215+00:00,0.2493999999999996,True
2022-06-27 05:22:05.107483+00:00,0.2533999999999996,True
2022-06-27 05:53:17.820219+00:00,0.2533999999999996,True
2022-06-27 06:24:31.912081+00:00,0.2503999999999996,True
2022-06-27 06:55:44.794494+00:00,0.2533999999999996,True
2022-06-27 07:26:59.027516+00:00,0.2493999999999996,True
2022-06-27 07:58:13.262432+00:00,0.2523999999999996,True
2022-06-27 08:30:13.502256+00:00,0.2523999999999996,True
2022-06-27 09:01:27.753992+00:00,0.2523999999999996,True
2022-06-27 09:32:41.907406+00:00,0.2503999999999996,True
2022-06-27 10:03:56.299179+00:00,0.2503999999999996,True
2022-06-27 10:35:10.395162+00:00,0.2523999999999996,True
2022-06-27 11:06:24.783414+00:00,0.2513999999999996,True
2022-06-27 11:37:37.582889+00:00,0.2573999999999996,True
2022-06-27 12:08:51.987619+00:00,0.2533999999999996,True
2022-06-27 12:40:04.940568+00:00,0.2523999999999996,True
2022-06-27 13:11:19.101515+00:00,0.2583999999999996,True
2022-06-27 13:42:33.338908+00:00,0.2583999999999996,True
2022-06-27 14:13:47.819542+00:00,0.2643999999999996,True
2022-06-27 14:45:01.975991+00:00,0.2603999999999996,True
2022-06-27 15:16:16.385282+00:00,0.2573999999999996,True
2022-06-27 15:47:29.102268+00:00,0.2513999999999996,True
2022-06-27 16:18:43.414009+00:00,0.2483999999999996,True
2022-06-27 16:49:57.660173+00:00,0.2473999999999996,True
2022-06-27 17:21:11.983233+00:00,0.2463999999999996,True
2022-06-27 17:52:41.818843+00:00,0.2323999999999996,True
2022-06-27 18:23:56.060107+00:00,0.2303999999999996,True
2022-06-27 18:55:10.462201+00:00,0.2333999999999996,True
2022-06-27 19:26:24.712801+00:00,0.2443999999999996,True
2022-06-27 19:57:39.130878+00:00,0.2393999999999996,True
2022-06-27 20:28:58.060685+00:00,0.2513999999999996,True
2022-06-27 21:00:12.303064+00:00,0.2353999999999996,True
2022-06-27 21:31:26.464909+00:00,0.2493999999999996,True
2022-06-27 22:02:39.260462+00:00,0.2323999999999996,True
2022-06-27 22:33:54.225014+00:00,0.2523999999999996,True
2022-06-27 23:05:07.656631+00:00,0.2613999999999996,True
2022-06-27 23:36:22.390966+00:00,0.2663999999999996,True
2022-06-28 00:07:52.139271+00:00,0.2393999999999996,True
2022-06-28 00:19:06.464406+00:00,0.4723999999999996,True
2022-06-28 00:30:21.099394+00:00,0.8803999999999996,True
2022-06-28 00:41:35.663884+00:00,0.7973999999999997,True
2022-06-28 00:52:49.973880+00:00,0.6793999999999997,True
2022-06-28 01:04:04.297792+00:00,0.6093999999999996,True
2022-06-28 01:15:18.613337+00:00,0.5713999999999997,True
2022-06-28 01:26:32.861762+00:00,0.7483999999999996,True
2022-06-28 01:37:53.978094+00:00,0.7693999999999996,True
2022-06-28 01:49:08.374917+00:00,0.6813999999999997,True
2022-06-28 02:00:52.864950+00:00,0.6563999999999997,True
2022-06-28 02:12:07.505205+00:00,0.6513999999999996,True
2022-06-28 02:23:22.060156+00:00,0.5973999999999996,True
2022-06-28 02:34:36.143443+00:00,0.5813999999999997,True
2022-06-28 02:45:50.621643+00:00,0.5743999999999997,True
2022-06-28 02:57:04.704097+00:00,0.5713999999999997,True
2022-06-28 03:08:19.013717+00:00,0.5793999999999997,True
2022-06-28 03:19:48.462587+00:00,0.5643999999999997,True
2022-06-28 03:31:02.786847+00:00,0.5573999999999997,True
2022-06-28 03:42:17.342738+00:00,0.5243999999999996,True
2022-06-28 03:53:31.578904+00:00,0.5123999999999996,True
2022-06-28 04:04:46.377946+00:00,0.4873999999999996,True
2022-06-28 04:16:00.776388+00:00,0.4763999999999996,True
2022-06-28 04:27:15.179099+00:00,0.4643999999999996,True
2022-06-28 04:38:59.738126+00:00,0.4533999999999996,True
2022-06-28 04:50:14.145066+00:00,0.4673999999999996,True
2022-06-28 05:01:28.614159+00:00,0.4743999999999996,True
2022-06-28 05:12:43.740093+00:00,0.4683999999999996,True
2022-06-28 05:23:58.065958+00:00,0.4743999999999996,True
2022-06-28 05:35:12.294676+00:00,0.4673999999999996,True
2022-06-28 05:46:26.542604+00:00,0.4683999999999996,True
2022-06-28 05:57:41.256161+00:00,0.4533999999999996,True
2022-06-28 06:08:55.579308+00:00,0.4563999999999996,True
2022-06-28 06:20:09.898924+00:00,0.4513999999999996,True
2022-06-28 06:31:24.377468+00:00,0.4443999999999996,True
2022-06-28 06:42:38.539230+00:00,0.4413999999999996,True
2022-06-28 06:53:58.058374+00:00,0.4343999999999996,True
2022-06-28 07:05:42.943928+00:00,0.4323999999999996,True
2022-06-28 07:16:57.417407+00:00,0.4283999999999996,True
2022-06-28 07:28:11.573459+00:00,0.4263999999999996,True
2022-06-28 07:39:25.978649+00:00,0.4253999999999996,True
2022-06-28 07:50:40.378945+00:00,0.4233999999999996,True
2022-06-28 08:01:54.778924+00:00,0.4233999999999996,True
2022-06-28 08:13:09.657910+00:00,0.4193999999999996,True
2022-06-28 08:44:23.899478+00:00,0.3983999999999996,True
2022-06-28 09:15:38.294245+00:00,0.3723999999999996,True
