,Bridge5,class
2022-06-29 01:50:57.416479+00:00,0.091,True
2022-06-29 02:22:11.983661+00:00,0.093,True
2022-06-29 02:53:26.453364+00:00,0.091,True
2022-06-29 03:24:43.579108+00:00,0.091,True
2022-06-29 03:55:55.263507+00:00,0.09,True
2022-06-29 04:27:09.576161+00:00,0.091,True
2022-06-29 04:58:24.219435+00:00,0.091,True
2022-06-29 05:29:38.382249+00:00,0.089,True
2022-06-29 06:01:08.058493+00:00,0.086,True
2022-06-29 06:32:22.377114+00:00,0.084,True
2022-06-29 07:03:36.459547+00:00,0.085,True
2022-06-29 07:34:51.099939+00:00,0.085,True
2022-06-29 08:06:05.976466+00:00,0.083,True
2022-06-29 08:37:20.455613+00:00,0.083,True
2022-06-29 09:08:34.776875+00:00,0.083,True
2022-06-29 09:39:48.939547+00:00,0.079,True
2022-06-29 10:11:03.339529+00:00,0.081,True
2022-06-29 10:42:18.058902+00:00,0.081,True
2022-06-29 11:13:32.306541+00:00,0.082,True
2022-06-29 11:44:46.702860+00:00,0.079,True
2022-06-29 12:16:01.189711+00:00,0.08,True
2022-06-29 12:47:15.260020+00:00,0.085,True
2022-06-29 13:18:29.584265+00:00,0.083,True
2022-06-29 13:49:44.152291+00:00,0.076,True
2022-06-29 14:20:58.541260+00:00,0.074,True
2022-06-29 14:52:11.266544+00:00,0.077,True
2022-06-29 15:23:25.744860+00:00,0.079,True
2022-06-29 15:54:39.988534+00:00,0.081,True
2022-06-29 16:25:53.825666+00:00,0.081,True
2022-06-29 16:57:07.989548+00:00,0.081,True
2022-06-29 17:28:22.225492+00:00,0.076,True
2022-06-29 17:59:36.300856+00:00,0.075,True
2022-06-29 18:30:49.099124+00:00,0.073,True
2022-06-29 19:02:24.061615+00:00,0.069,True
2022-06-29 19:33:38.459678+00:00,0.061,True
2022-06-29 20:04:53.020839+00:00,0.056,True
2022-06-29 20:36:07.019351+00:00,0.052,True
2022-06-29 21:07:21.575959+00:00,0.057,True
2022-06-29 21:38:35.992397+00:00,0.058,True
2022-06-29 22:11:15.419747+00:00,0.058,True
2022-06-29 22:42:29.744296+00:00,0.062,True
2022-06-29 23:13:43.900167+00:00,0.059,True
2022-06-29 23:44:58.546604+00:00,0.061,True
2022-06-30 00:16:12.700872+00:00,0.059,True
2022-06-30 00:47:26.860115+00:00,0.066,True
2022-06-30 01:18:41.661381+00:00,0.062,True
2022-06-30 01:49:56.224385+00:00,0.07,True
2022-06-30 02:21:27.912562+00:00,0.07,True
2022-06-30 02:52:42.460059+00:00,0.074,True
2022-06-30 03:24:27.180372+00:00,0.074,True
2022-06-30 03:55:46.139559+00:00,0.08,True
2022-06-30 04:27:00.619754+00:00,0.083,True
2022-06-30 04:58:15.102175+00:00,0.085,True
2022-06-30 05:29:29.977572+00:00,0.086,True
2022-06-30 06:00:43.894459+00:00,0.084,True
2022-06-30 06:31:58.546645+00:00,0.087,True
2022-06-30 07:03:12.700824+00:00,0.088,True
2022-06-30 07:34:26.940831+00:00,0.09,True
2022-06-30 08:07:31.583093+00:00,0.087,True
2022-06-30 08:38:46.140487+00:00,0.089,True
2022-06-30 09:10:00.062655+00:00,0.089,True
2022-06-30 09:41:14.537155+00:00,0.09,True
2022-06-30 10:12:28.694487+00:00,0.091,True
2022-06-30 10:43:42.860972+00:00,0.09,True
2022-06-30 11:14:57.180475+00:00,0.093,True
2022-06-30 11:46:10.299290+00:00,0.092,True
2022-06-30 12:17:24.466133+00:00,0.09,True
2022-06-30 12:48:38.860781+00:00,0.088,True
2022-06-30 13:19:52.938685+00:00,0.087,True
2022-06-30 13:51:07.110399+00:00,0.078,True
2022-06-30 14:22:21.416314+00:00,0.08,True
2022-06-30 14:53:35.812643+00:00,0.083,True
2022-06-30 15:24:50.230525+00:00,0.082,True
2022-06-30 15:56:04.619035+00:00,0.084,True
2022-06-30 16:27:19.184986+00:00,0.084,True
2022-06-30 16:59:03.894127+00:00,0.082,True
2022-06-30 17:30:18.378955+00:00,0.083,True
2022-06-30 18:01:31.664435+00:00,0.082,True
2022-06-30 18:32:45.985844+00:00,0.076,True
2022-06-30 19:04:00.056368+00:00,0.08,True
2022-06-30 19:35:13.980222+00:00,0.069,True
2022-06-30 20:06:28.777536+00:00,0.073,True
2022-06-30 20:37:43.181307+00:00,0.066,True
2022-06-30 21:10:57.893945+00:00,0.072,True
2022-06-30 21:42:12.066206+00:00,0.065,True
2022-06-30 22:13:26.384998+00:00,0.066,True
2022-06-30 22:44:40.781418+00:00,0.062,True
2022-06-30 23:15:55.183082+00:00,0.07,True
2022-06-30 23:47:09.099087+00:00,0.07,True
2022-07-01 00:18:38.784517+00:00,0.07,True
2022-07-01 00:50:23.340309+00:00,0.073,True
2022-07-01 01:24:14.135746+00:00,0.072,True
2022-07-01 01:55:28.539835+00:00,0.07,True
2022-07-01 02:26:43.024573+00:00,0.069,True
2022-07-01 02:57:57.425489+00:00,0.07,True
2022-07-01 03:29:11.744015+00:00,0.068,True
2022-07-01 04:00:26.139993+00:00,0.072,True
2022-07-01 04:31:55.745616+00:00,0.075,True
2022-07-01 05:03:10.218841+00:00,0.078,True
2022-07-01 05:34:24.778851+00:00,0.079,True
2022-07-01 06:05:39.661231+00:00,0.078,True
2022-07-01 06:36:54.785701+00:00,0.08,True
2022-07-01 07:08:09.423026+00:00,0.072,True
2022-07-01 07:39:23.734482+00:00,0.079,True
2022-07-01 08:10:38.299461+00:00,0.079,True
2022-07-01 08:42:08.941568+00:00,0.079,True
2022-07-01 09:15:11.899399+00:00,0.082,True
2022-07-01 09:46:26.301667+00:00,0.08,True
2022-07-01 10:17:40.779400+00:00,0.079,True
2022-07-01 10:48:54.058731+00:00,0.08,True
2022-07-01 11:20:08.613301+00:00,0.08,True
2022-07-01 11:51:23.025636+00:00,0.082,True
2022-07-01 12:23:07.978666+00:00,0.081,True
2022-07-01 12:54:22.459227+00:00,0.077,True
2022-07-01 13:25:36.539208+00:00,0.079,True
2022-07-01 13:56:50.543463+00:00,0.071,True
2022-07-01 14:28:04.774475+00:00,0.07,True
2022-07-01 14:59:18.779667+00:00,0.07,True
2022-07-01 15:30:33.099322+00:00,0.071,True
2022-07-01 16:01:47.173325+00:00,0.072,True
2022-07-01 16:33:01.821683+00:00,0.072,True
2022-07-01 17:04:16.214851+00:00,0.07,True
2022-07-01 17:35:30.625262+00:00,0.065,True
2022-07-01 18:06:45.337638+00:00,0.07,True
2022-07-01 18:37:59.356865+00:00,0.06,True
2022-07-01 19:09:30.785282+00:00,0.063,True
2022-07-01 19:40:45.096059+00:00,0.064,True
2022-07-01 20:11:59.184447+00:00,0.062,True
2022-07-01 20:43:13.741043+00:00,0.06,True
2022-07-01 21:14:28.144676+00:00,0.054,True
2022-07-01 21:45:42.695378+00:00,0.062,True
2022-07-01 22:16:57.504654+00:00,0.064,True
2022-07-01 22:48:11.654516+00:00,0.06,True
2022-07-01 23:19:25.575862+00:00,0.06,True
2022-07-01 23:50:40.298592+00:00,0.061,True
2022-07-02 00:22:25.177048+00:00,0.061,True
2022-07-02 00:54:09.986364+00:00,0.064,True
2022-07-02 01:25:24.855329+00:00,0.065,True
2022-07-02 01:56:39.184559+00:00,0.064,True
2022-07-02 02:27:53.498010+00:00,0.065,True
2022-07-02 02:59:07.665457+00:00,0.065,True
2022-07-02 03:30:22.375022+00:00,0.066,True
2022-07-02 04:01:36.943725+00:00,0.071,True
2022-07-02 04:32:49.658575+00:00,0.074,True
2022-07-02 05:04:04.061074+00:00,0.075,True
2022-07-02 05:35:18.614831+00:00,0.077,True
2022-07-02 06:06:33.581718+00:00,0.072,True
2022-07-02 06:37:47.739566+00:00,0.072,True
2022-07-02 07:09:01.818769+00:00,0.073,True
2022-07-02 07:40:16.546483+00:00,0.073,True
2022-07-02 08:11:30.783382+00:00,0.075,True
2022-07-02 08:44:32.775305+00:00,0.076,True
2022-07-02 09:15:47.178964+00:00,0.076,True
2022-07-02 09:47:01.339093+00:00,0.077,True
2022-07-02 10:18:15.264546+00:00,0.078,True
2022-07-02 10:49:29.822221+00:00,0.081,True
2022-07-02 11:20:44.538613+00:00,0.078,True
2022-07-02 11:51:58.865983+00:00,0.075,True
2022-07-02 12:23:13.734888+00:00,0.075,True
2022-07-02 12:54:26.862888+00:00,0.075,True
2022-07-02 13:25:41.505766+00:00,0.078,True
2022-07-02 13:56:55.814711+00:00,0.076,True
2022-07-02 14:28:10.699058+00:00,0.073,True
2022-07-02 14:59:25.023342+00:00,0.074,True
2022-07-02 15:30:54.622727+00:00,0.073,True
2022-07-02 16:02:09.260150+00:00,0.073,True
2022-07-02 16:33:23.184101+00:00,0.073,True
2022-07-02 17:04:37.419160+00:00,0.074,True
2022-07-02 17:36:07.342528+00:00,0.071,True
2022-07-02 18:07:21.739125+00:00,0.071,True
2022-07-02 18:38:35.896531+00:00,0.066,True
2022-07-02 19:09:50.298855+00:00,0.061,True
2022-07-02 19:41:21.257233+00:00,0.057,True
2022-07-02 20:12:35.418586+00:00,0.055,True
2022-07-02 20:45:14.857444+00:00,0.056,True
2022-07-02 21:16:28.786575+00:00,0.058,True
2022-07-02 21:47:43.101387+00:00,0.052,True
2022-07-02 22:18:57.266741+00:00,0.053,True
2022-07-02 22:50:11.665044+00:00,0.052,True
2022-07-02 23:21:25.892571+00:00,0.06,True
2022-07-02 23:52:40.907929+00:00,0.059,True
2022-07-02 23:53:47.659033+00:00,0.049,True
2022-07-03 00:25:02.061187+00:00,0.063,True
2022-07-03 00:56:16.622473+00:00,0.06,True
2022-07-03 01:27:30.702024+00:00,0.062,True
2022-07-03 01:58:44.780339+00:00,0.065,True
2022-07-03 02:29:59.253997+00:00,0.062,True
2022-07-03 03:01:44.543840+00:00,0.063,True
2022-07-03 03:32:59.180704+00:00,0.065,True
2022-07-03 04:04:13.419126+00:00,0.067,True
2022-07-03 04:35:28.058382+00:00,0.065,True
2022-07-03 05:06:42.141734+00:00,0.067,True
2022-07-03 05:37:56.620046+00:00,0.068,True
2022-07-03 06:09:11.178684+00:00,0.066,True
2022-07-03 06:40:25.255086+00:00,0.069,True
2022-07-03 07:11:55.186792+00:00,0.07,True
2022-07-03 07:43:09.339096+00:00,0.066,True
2022-07-03 08:14:23.667793+00:00,0.072,True
2022-07-03 08:45:38.064195+00:00,0.069,True
2022-07-03 09:16:52.141226+00:00,0.069,True
2022-07-03 09:48:04.940526+00:00,0.068,True
2022-07-03 10:19:19.024494+00:00,0.072,True
2022-07-03 10:50:33.178532+00:00,0.073,True
2022-07-03 11:21:47.743740+00:00,0.073,True
2022-07-03 11:53:02.538927+00:00,0.071,True
2022-07-03 12:25:43.183493+00:00,0.072,True
2022-07-03 12:56:57.100752+00:00,0.071,True
2022-07-03 13:28:11.338845+00:00,0.07,True
2022-07-03 13:59:25.662245+00:00,0.073,True
2022-07-03 14:30:40.219453+00:00,0.073,True
2022-07-03 15:01:54.535539+00:00,0.075,True
2022-07-03 15:33:09.017878+00:00,0.07,True
2022-07-03 16:04:23.506531+00:00,0.072,True
